accelX,accelY,accelZ,label
0.799,0.983,0.784,0
0.8,0.978,0.785,0
0.159,0.798,0.975,0
-0.421,0.56,0.079,0
-0.57,0.471,-0.336,0
-0.242,0.55,-0.165,0
0.08,0.634,0.541,0
0.353,0.642,1.747,0
0.365,0.489,2.271,0
0.332,0.156,2.668,0
0.239,0.197,2.967,0
-0.153,0.777,2.833,1
-0.423,0.953,1.573,0
-0.565,0.889,-0.405,0
-0.334,0.972,-1.424,0
0.106,1.083,-2.248,0
0.295,1.022,-2.055,0
0.148,0.618,-0.24,0
0.089,0.171,1.132,0
0.002,-0.69,3.01,0
-0.112,-0.875,3.828,0
-0.239,-0.778,4.035,0
-0.22,-0.675,3.114,0
-0.236,-0.441,1.009,0
-0.206,-0.198,-0.365,0
-0.323,-0.04,-1.543,0
-0.427,0.014,-1.627,0
-0.775,-0.111,-1.149,0
-0.819,-0.25,-0.615,0
-0.535,-0.512,0.43,0
-0.382,-0.576,0.926,0
-0.196,-0.688,1.058,0
-0.083,-0.614,0.731,0
0.297,-0.351,-0.256,0
0.465,-0.163,-1.035,0
0.53,0.078,-2.048,0
0.507,0.158,-2.416,0
0.527,0.241,-2.833,0
0.472,0.295,-2.897,0
0.256,0.274,-2.403,0
0.166,0.203,-1.979,0
0.049,0.208,-1.531,0
-0.101,0.249,-1.308,0
-0.02,0.363,-1.164,0
0.014,0.496,-1.255,0
-0.007,0.594,-1.683,0
-0.109,0.566,-1.866,0
-0.361,0.488,-1.873,0
-0.424,0.453,-1.783,0
-0.532,0.474,-1.371,0
-0.489,0.529,-1.027,0
-0.467,0.666,-0.534,0
-0.403,0.753,-0.412,0
-0.199,0.813,0.042,0
-0.169,0.82,0.344,0
-0.281,0.855,0.743,0
-0.352,0.798,1.184,0
-0.369,0.732,1.723,0
-0.343,0.666,1.771,0
-0.114,0.475,1.549,0
0.192,0.405,1.624,0
0.352,0.224,2.452,0
0.305,0.229,3.038,0
-0.027,0.64,4.323,0
-0.135,1.003,4.52,0
0.27,1.485,2.851,1
0.228,1.491,1.749,0
0.142,1.217,0.535,0
0.281,1.021,0.358,0
0.27,0.702,1.035,0
-0.083,0.243,2.108,0
-0.393,-0.285,2.996,0
-0.385,-0.417,3.165,0
-0.185,-0.704,3.194,0
-0.046,-0.707,3.152,0
0.044,-0.603,2.623,0
0.252,-0.486,1.724,0
0.359,-0.529,0.248,0
0.443,-0.582,-0.654,0
0.674,-0.51,-1.47,0
0.745,-0.51,-1.695,0
0.516,-0.692,-1.771,0
0.398,-0.896,-1.635,0
0.319,-1.008,-1.308,0
0.294,-1.013,-1.227,0
0.335,-0.939,-1.479,0
0.268,-0.884,-1.875,0
0.284,-0.69,-2.572,0
0.283,-0.575,-2.882,0
0.302,-0.314,-2.764,0
0.32,-0.162,-2.423,0
0.152,-0.002,-1.825,0
0.04,0.151,-1.364,0
0.007,0.294,-1.032,0
-0.02,0.4,-1.03,0
-0.163,0.439,-1.553,0
-0.217,0.484,-2.112,0
-0.171,0.579,-2.473,0
-0.108,0.579,-2.482,0
0.086,0.661,-2.382,0
0.209,0.706,-2.151,0
0.327,0.768,-1.311,0
0.308,0.756,-0.839,0
0.064,0.574,0.126,0
-0.008,0.567,0.6,0
-0.143,0.523,1.291,0
-0.33,0.399,1.428,0
-0.187,0.501,0.618,0
0.025,0.684,0.168,0
0.259,0.876,-0.321,0
0.31,0.969,-0.43,0
0.274,0.978,0.129,0
0.208,0.844,1.078,0
0.08,0.627,2.286,0
0.092,0.42,3.157,0
0.049,0.246,4.323,0
0.178,0.163,4.57,1
0.377,0.273,4.188,0
0.307,0.716,3.289,0
0.014,1.335,1.713,0
0.126,1.48,0.186,0
0.347,1.725,-1.923,0
0.405,1.778,-2.517,0
0.158,1.246,-1.69,0
-0.208,0.444,0.098,0
-0.314,-0.365,2.892,0
-0.023,-0.744,4.395,0
0.21,-0.917,5.569,0
0.263,-0.741,5.195,0
0.371,-0.521,3.326,0
0.33,-0.364,1.575,0
0.267,-0.074,-0.823,0
0.297,0.075,-2.075,0
0.145,0.152,-3.136,0
-0.06,0.161,-3.351,0
-0.519,-0.181,-3.055,0
-0.669,-0.5,-2.796,0
-0.654,-0.814,-2.154,0
-0.462,-0.881,-1.517,0
0.071,-0.868,-0.81,0
0.284,-0.769,-0.647,0
0.401,-0.654,-0.58,0
0.395,-0.608,-0.699,0
0.096,-0.575,-1.231,0
-0.092,-0.553,-1.493,0
-0.16,-0.533,-2.128,0
-0.208,-0.384,-2.372,0
-0.268,-0.218,-1.988,0
-0.302,-0.175,-1.576,0
-0.264,-0.078,-1.227,0
-0.266,0.104,-0.979,0
-0.226,0.277,-0.706,0
-0.273,0.278,-0.61,0
-0.462,0.321,-0.688,0
-0.52,0.333,-0.7,0
-0.489,0.263,-0.687,0
-0.459,0.284,-0.774,0
-0.436,0.215,-1.057,0
-0.439,0.196,-1.279,0
-0.488,0.114,-1.415,0
-0.46,0.074,-1.12,0
-0.39,0.022,-0.268,0
-0.376,0.077,0.27,0
-0.52,0.148,0.84,0
-0.458,0.189,0.837,0
-0.515,0.219,1.118,0
-0.494,0.174,1.317,0
-0.256,0.201,1.449,0
-0.122,0.329,1.72,0
-0.094,0.37,1.979,0
-0.213,0.561,2.017,0
-0.464,1.314,1.982,0
-0.35,1.509,1.645,0
0.474,1.706,0.432,1
0.917,1.812,-0.388,0
1.404,1.463,-0.193,0
1.286,1.064,0.954,0
0.45,0.296,3.142,0
-0.131,-0.174,4.351,0
-0.13,-0.289,4.837,0
0.067,-0.146,4.723,0
0.544,0.025,3.489,0
0.846,0.203,2.039,0
1.063,0.321,0.345,0
1.008,0.161,-0.614,0
0.915,-0.096,-1.466,0
0.759,-0.182,-1.614,0
0.65,-0.358,-1.249,0
0.637,-0.523,-0.951,0
0.435,-0.82,-0.51,0
0.425,-0.924,-0.383,0
0.562,-0.952,-0.267,0
0.564,-0.942,-0.213,0
0.569,-0.921,-0.218,0
0.547,-0.826,-0.181,0
0.484,-0.714,-1.016,0
0.496,-0.57,-1.578,0
0.505,-0.352,-2.059,0
0.517,-0.36,-2.055,0
0.485,-0.056,-2.149,0
0.417,0.07,-2.149,0
0.384,0.11,-2.216,0
0.416,0.226,-2.206,0
0.425,0.419,-1.993,0
0.509,0.474,-1.702,0
0.63,0.608,-1.272,0
0.624,0.608,-1.032,0
0.528,0.476,-0.728,0
0.543,0.447,-0.45,0
0.601,0.439,-0.222,0
0.606,0.407,-0.284,0
0.589,0.377,-0.404,0
0.589,0.415,-0.308,0
0.764,0.5,-0.21,0
0.875,0.649,-0.078,0
0.945,0.681,0.185,0
0.878,0.654,0.235,0
0.398,0.544,0.807,0
0.07,0.402,1.529,0
0.008,0.213,2.624,0
0.11,0.241,3.267,0
0.461,0.329,3.171,0
0.595,0.312,2.515,0
0.475,0.633,1.71,0
0.244,0.973,1.342,0
-0.267,1.357,0.407,0
-0.355,1.399,-0.255,0
-0.002,1.387,-1.047,1
0.393,1.26,-0.907,0
0.774,1.067,0.427,0
0.974,0.808,1.434,0
1.291,0.242,2.916,0
1.345,-0.246,3.514,0
0.837,-0.833,4.231,0
0.424,-1.083,4.289,0
-0.132,-1.151,3.135,0
-0.109,-1.023,1.616,0
0.28,-0.718,-0.513,0
0.332,-0.466,-1.783,0
0.208,-0.418,-2.576,0
0.079,-0.44,-2.856,0
-0.042,-0.543,-2.786,0
-0.037,-0.669,-2.465,0
0.019,-0.797,-1.671,0
0.032,-0.89,-1.242,0
0.027,-1.017,-0.781,0
0.099,-0.987,-0.892,0
0.155,-0.889,-1.364,0
0.097,-0.819,-1.585,0
0.005,-0.722,-1.936,0
-0.071,-0.619,-2.098,0
-0.246,-0.468,-2.168,0
-0.149,-0.306,-1.996,0
-0.007,-0.04,-1.814,0
0.011,0.135,-1.708,0
0.159,0.308,-1.637,0
0.08,0.411,-1.692,0
-0.039,0.495,-2.04,0
0.076,0.539,-2.24,0
-0.055,0.515,-1.928,0
-0.217,0.544,-1.537,0
-0.21,0.721,-0.574,0
-0.18,0.752,-0.237,0
-0.116,0.781,0.386,0
-0.131,0.879,0.587,0
-0.192,0.787,0.273,0
-0.159,0.78,0.179,0
0.036,0.92,0.725,0
0.153,0.995,1.237,0
0.022,0.908,1.483,0
-0.157,0.79,1.587,0
-0.43,0.495,1.783,0
-0.362,0.396,2.057,0
0.189,0.505,2.803,0
0.375,0.485,3.12,0
0.506,0.51,3.137,0
0.636,0.445,3.148,0
0.626,0.402,3.158,1
0.143,1.074,2.715,0
0.51,1.291,1.56,0
1.059,1.331,0.738,0
1.491,1.249,0.054,0
1.583,0.797,0.599,0
1.194,0.169,2.277,0
0.478,-0.208,3.652,0
0.187,-0.583,4.306,0
0.355,-0.43,3.391,0
0.628,-0.182,1.108,0
0.88,-0.051,-0.05,0
1.096,-0.082,-1.255,0
1.12,-0.172,-1.667,0
0.742,-0.486,-1.436,0
0.428,-0.84,-0.757,0
0.15,-1.12,0.05,0
-0.147,-1.369,0.283,0
-0.57,-1.813,0.356,0
-0.581,-1.939,0.167,0
-0.473,-1.882,-0.358,0
-0.204,-1.643,-0.747,0
0.3,-1.148,-1.205,0
0.52,-0.853,-1.368,0
0.528,-0.579,-1.635,0
0.472,-0.509,-1.814,0
0.429,-0.314,-2.086,0
0.394,-0.191,-2.207,0
0.501,-0.021,-2.148,0
0.664,0.104,-2.06,0
0.805,0.399,-1.458,0
1.01,0.535,-1.179,0
1.028,0.614,-0.983,0
