accelX,accelY,accelZ,label
0.007,-1.108,0.898,1
0.396,-0.798,-0.623,1
0.358,-0.546,-1.693,1
0.223,-0.543,-2.03,1
-0.024,-0.659,-1.703,1
-0.296,-0.855,-0.896,0
-0.381,-1.017,-0.52,0
-0.351,-0.842,-0.678,0
-0.274,-0.735,-1.095,0
-0.013,-0.393,-1.883,0
0.246,-0.022,-2.5,0
0.654,0.399,-3.19,0
0.897,0.755,-3.346,0
0.978,0.896,-2.965,0
0.717,0.833,-2.385,0
0.271,0.623,-2.067,0
-0.043,0.43,-1.707,0
-0.392,0.212,-1.304,0
-0.497,0.154,-1.298,0
-0.467,0.2,-1.387,0
-0.335,0.282,-1.47,0
-0.329,0.269,-1.466,0
-0.144,0.376,-1.263,0
0.135,0.49,-0.931,0
0.202,0.553,-0.885,0
0.017,0.435,-0.588,0
-0.27,0.287,-0.316,0
-0.481,0.204,-0.251,0
-0.514,0.262,-0.398,0
-0.361,0.375,-0.332,0
-0.13,0.551,0.097,0
0.05,0.628,0.606,0
-0.003,0.657,0.868,0
0.037,0.737,1.08,0
0.064,0.583,1.436,0
0.323,0.567,2.423,0
0.404,0.548,3.054,0
0.365,0.787,3.324,0
0.269,0.975,2.804,1
0.309,0.987,1.849,1
0.123,1.145,1.237,1
-0.336,1.355,0.966,1
-0.572,1.444,0.836,1
-0.835,1.588,0.773,1
-0.861,1.521,0.647,1
-0.874,1.521,0.647,1
-0.006,0.714,0.483,1
0.223,-0.086,2.367,1
-0.002,-0.634,3.715,1
-0.484,-0.96,3.751,1
-1.059,-1.166,2.481,1
-1.529,-1.231,0.885,1
-1.776,-1.214,-0.266,1
-2.211,-1.113,-1.435,1
-2.447,-1.063,-1.764,1
-2.141,-0.905,-1.89,1
-1.403,-0.676,-1.323,1
-0.663,-0.69,-0.45,1
-0.352,-0.862,0.374,1
-0.459,-1.245,1.017,0
-0.461,-1.369,0.998,0
-0.237,-1.243,0.447,0
0.035,-0.943,-0.234,0
0.356,-0.445,-1.023,0
0.443,-0.13,-1.85,0
0.451,0.24,-3.01,0
0.505,0.448,-3.484,0
0.485,0.505,-3.262,0
0.329,0.406,-2.445,0
0.148,0.284,-1.191,0
-0.006,0.282,-0.507,0
-0.138,0.274,-0.306,0
-0.39,0.279,-0.447,0
-0.501,0.337,-0.98,0
-0.487,0.487,-1.385,0
-0.475,0.469,-1.381,0
-0.162,0.721,-1.535,0
0.162,0.785,-1.513,0
0.256,0.755,-1.141,0
0.186,0.511,-0.417,0
0.022,0.322,0.463,0
-0.213,0.198,1.48,0
-0.269,0.179,1.826,0
-0.24,0.27,1.787,0
-0.125,0.387,1.574,0
0.09,0.441,1.425,0
0.221,0.445,1.51,0
0.147,0.354,1.673,0
0.226,0.279,1.665,0
0.138,0.302,1.489,0
0.011,0.302,1.331,0
0.109,0.041,1.023,0
0.371,-0.112,1.192,1
