accelX,accelY,accelZ,label
0.637,0.564,-0.142,0
0.601,0.573,0.274,0
0.665,0.693,0.379,0
0.876,0.879,0.228,0
1.001,0.983,0.197,0
0.983,1.039,0.093,0
0.878,1.004,-0.114,0
0.739,0.971,-0.26,0
0.633,0.938,-0.222,1
0.468,0.747,0.068,1
0.448,0.714,0.323,1
0.553,0.831,0.709,1
0.662,0.842,0.899,1
0.701,0.786,1.001,1
0.577,0.719,0.994,1
0.44,0.491,1.037,1
0.411,0.304,1.229,1
0.407,0.271,1.24,1
0.022,0.648,1.213,1
-0.133,0.76,0.285,1
-0.044,0.813,-0.385,1
0.038,1.048,-1.112,1
-0.049,0.993,-1.359,1
0.47,1.012,-1.37,1
0.534,0.686,-0.666,1
0.404,0.303,0.503,1
0.234,-0.018,1.488,1
0.176,-0.466,2.505,1
0.023,-0.686,2.958,1
-0.123,-1.02,3.389,0
-0.034,-1.214,3.54,0
0.131,-1.305,3.433,0
0.225,-1.299,2.924,0
0.3,-1.266,1.881,0
0.287,-1.255,0.98,0
0.294,-1.081,-0.391,0
0.301,-0.955,-1.05,0
0.436,-0.854,-1.768,0
0.544,-0.77,-1.954,0
0.853,-0.623,-1.788,0
0.921,-0.562,-1.338,0
0.751,-0.69,-0.777,0
0.53,-0.888,-0.341,0
0.344,-1.102,-0.035,0
0.227,-1.116,0.011,0
0.173,-1.14,-0.09,0
0.151,-1.145,-0.302,0
0.159,-1.075,-0.561,0
0.188,-0.946,-0.668,0
0.266,-0.777,-0.765,0
0.32,-0.68,-0.799,0
0.334,-0.529,-0.927,0
0.487,-0.413,-0.982,0
0.484,-0.403,-0.986,0
0.465,-0.306,-0.86,0
0.461,-0.271,-0.791,0
0.434,-0.281,-0.652,0
0.342,-0.254,-0.518,0
0.277,-0.167,-0.476,0
0.128,-0.259,-0.402,0
0.068,-0.326,-0.539,0
0.183,-0.21,-0.688,0
0.438,-0.034,-0.722,0
0.774,0.206,-0.667,0
0.848,0.352,-0.564,0
0.71,0.38,-0.536,0
0.579,0.374,-0.595,0
0.383,0.4,-0.631,0
0.291,0.443,-0.534,0
0.259,0.519,-0.414,0
0.246,0.575,-0.355,0
0.28,0.683,-0.474,0
0.309,0.773,-0.53,0
0.45,0.843,-0.51,0
0.488,0.932,-0.338,0
0.439,0.935,-0.038,0
0.323,0.855,0.173,0
0.197,0.753,0.398,0
0.189,0.75,0.399,0
0.226,0.682,0.611,0
0.306,0.729,0.645,1
0.342,0.695,0.815,1
0.339,0.686,0.818,1
0.286,0.498,1.541,1
0.298,0.497,1.626,1
0.269,0.445,1.503,1
0.285,0.317,1.211,1
0.22,0.298,0.762,1
0.025,0.372,0.494,1
-0.136,0.371,0.121,1
0.069,0.397,-0.122,1
0.487,0.554,-0.307,1
0.686,0.629,-0.153,1
0.991,0.676,0.142,1
1.137,0.545,0.444,1
0.937,0.325,1.057,1
0.578,0.151,1.63,1
0.336,-0.174,2.136,1
0.256,-0.401,2.473,1
0.255,-0.699,3.125,1
0.434,-0.827,3.692,1
0.563,-0.89,4.186,0
0.729,-0.826,3.953,0
0.818,-0.813,2.642,0
0.659,-0.971,1.348,0
0.463,-1.083,-0.243,0
0.439,-0.958,-1.118,0
0.443,-0.908,-1.632,0
0.428,-0.923,-1.678,0
0.363,-0.925,-1.402,0
0.395,-0.942,-1.172,0
0.556,-0.917,-0.85,0
0.686,-0.828,-0.664,0
0.825,-0.765,-0.599,0
0.875,-0.744,-0.708,0
0.882,-0.734,-0.845,0
0.773,-0.808,-0.854,0
0.551,-0.899,-0.553,0
0.414,-0.951,-0.276,0
0.396,-0.908,-0.085,0
0.423,-0.766,-0.111,0
0.496,-0.627,-0.206,0
0.53,-0.512,-0.506,0
0.547,-0.51,-0.506,0
0.649,-0.23,-1.378,0
0.787,-0.078,-1.596,0
0.777,-0.041,-1.59,0
0.672,0.005,-1.412,0
0.667,0.034,-1.294,0
0.543,0.009,-1.092,0
0.413,-0.055,-0.934,0
0.35,-0.034,-0.744,0
0.329,0.015,-0.628,0
0.297,0.071,-0.69,0
0.304,0.158,-0.615,0
0.376,0.281,-0.59,0
0.45,0.39,-0.696,0
0.556,0.503,-0.924,0
0.746,0.627,-0.844,0
0.929,0.732,-0.724,0
0.88,0.747,-0.656,0
0.586,0.573,-0.256,0
0.35,0.427,0.036,0
0.1,0.327,0.291,0
0.04,0.334,0.354,0
0.105,0.484,0.319,0
0.187,0.576,0.163,0
0.378,0.714,-0.124,0
0.546,0.83,-0.383,0
0.739,0.906,-0.307,0
0.719,0.895,0.025,1
0.503,0.796,0.473,1
0.396,0.686,0.718,1
0.398,0.553,0.696,1
0.406,0.567,0.621,1
0.413,0.582,0.516,1
0.471,0.531,0.479,1
0.491,0.489,0.634,1
0.436,0.463,0.896,1
0.469,0.451,1.124,1
0.405,0.577,1.195,1
0.139,0.809,0.94,1
0.093,0.873,0.531,1
0.282,1.018,-0.295,1
0.406,1.185,-0.892,1
0.494,1.189,-1.503,1
0.479,0.985,-1.553,1
0.387,0.705,-0.909,1
0.314,0.561,-0.115,1
0.359,0.302,0.977,1
0.417,0.044,1.744,1
0.501,-0.277,2.764,0
0.51,-0.433,3.412,0
0.471,-0.77,4.317,0
0.309,-0.968,4.482,0
0.141,-1.221,3.908,0
0.049,-1.204,2.878,0
-0.029,-1.136,1.389,0
-0.125,-1.016,0.198,0
-0.134,-0.84,-1.191,0
-0.006,-0.788,-1.779,0
0.08,-0.665,-2.436,0
0.145,-0.623,-2.504,0
0.264,-0.618,-2.053,0
0.316,-0.643,-1.481,0
0.207,-0.858,-0.725,0
0.198,-0.983,-0.278,0
0.265,-1.048,0.303,0
0.296,-1.013,0.559,0
0.325,-1.013,0.613,0
0.308,-1.024,0.478,0
0.299,-1.015,0.475,0
0.049,-0.951,-0.3,0
0.06,-0.812,-0.649,0
0.038,-0.738,-0.717,0
-0.035,-0.632,-0.68,0
-0.034,-0.507,-0.582,0
0.241,-0.288,-0.421,0
0.437,-0.144,-0.394,0
0.598,0.02,-0.425,0
0.606,0.07,-0.534,0
0.578,0.075,-0.72,0
0.531,0.071,-0.878,0
0.485,0.107,-1.051,0
0.491,0.116,-1.118,0
0.403,0.087,-1.207,0
0.291,0.059,-1.261,0
0.175,-0.005,-1.294,0
0.198,-0.001,-1.234,0
0.247,0.078,-0.689,0
0.226,0.14,-0.272,0
0.137,0.234,0.164,0
-0.02,0.27,0.422,0
-0.281,0.29,0.427,0
-0.352,0.33,0.204,0
-0.355,0.33,0.204,0
-0.078,0.588,-0.553,0
0.068,0.71,-0.577,0
0.063,0.754,-0.564,0
-0.129,0.7,-0.407,0
-0.299,0.657,-0.093,0
-0.354,0.639,0.353,0
-0.352,0.679,0.585,0
-0.228,0.782,0.797,0
-0.134,0.804,0.875,0
-0.052,0.844,0.799,0
0.047,0.84,0.668,1
0.26,0.843,0.696,1
0.438,0.833,0.879,1
0.646,0.77,1.076,1
0.576,0.734,1.15,1
0.31,0.791,1.053,1
0.171,0.866,0.723,1
0.258,0.755,0.145,1
0.383,0.717,-0.255,1
0.622,0.798,-0.292,1
0.837,0.758,0.041,1
1.039,0.547,0.575,1
0.867,0.314,1.041,1
0.86,0.334,1.034,1
0.232,-0.166,1.97,1
0.288,-0.201,2.15,1
0.454,-0.301,2.307,1
0.692,-0.578,2.872,1
0.793,-0.658,3.224,1
0.708,-0.889,3.794,1
0.638,-0.965,3.671,1
0.599,-0.928,2.62,0
0.659,-0.936,1.32,0
0.726,-0.835,-0.594,0
0.627,-0.684,-1.618,0
0.625,-0.6,-2.189,0
0.759,-0.53,-2.301,0
0.833,-0.351,-2.023,0
0.867,-0.348,-1.678,0
0.836,-0.445,-1.334,0
0.717,-0.568,-1.102,0
0.513,-0.795,-0.729,0
0.371,-0.933,-0.357,0
0.392,-1.006,0.186,0
0.451,-0.973,0.456,0
