accX,accY,accZ,angleX,angleY,angleZ
-2.3376656,-2.0432765,0.26543808,-0.2948952,1.0616838,2.2482896
-2.3376656,-2.0432765,0.26543808,-0.2948952,1.0616838,2.2482896
-2.0063083,-2.1536398,0.53781986,-0.28328875,1.1068878,2.4572055
-2.0063083,-2.1536398,0.53781986,-0.28328875,1.1068878,2.4572055
-2.0040133,-2.6401439,0.20522594,-0.28328875,1.1911873,2.5708263
-2.0040133,-2.6401439,0.20522594,-0.28328875,1.1911873,2.5708263
-2.041554,-3.3069444,0.15708256,-0.45005497,1.1184943,2.7107146
-2.041554,-3.3069444,0.15708256,-0.45005497,1.1184943,2.7107146
-2.3884406,-3.816686,1.3162603,-0.6424775,1.0238101,2.8646526
-2.3884406,-3.816686,1.3162603,-0.6424775,1.0238101,2.8646526
-2.0517564,-4.0833006,2.9547558,-0.5917757,1.0775663,3.0949488
-2.0517564,-4.0833006,2.9547558,-0.5917757,1.0775663,3.0949488
-1.253351,-3.7616448,2.31312,-0.3034473,1.1392636,3.2556064
-1.253351,-3.7616448,2.31312,-0.3034473,1.1392636,3.2556064
-0.8575826,-3.2059674,1.4336214,-0.15622878,1.1233811,3.2366695
-0.8575826,-3.2059674,1.4336214,-0.15622878,1.1233811,3.2366695
-0.67009383,-2.433982,0.991663,-0.16905695,1.2040154,3.1425962
-0.67009383,-2.433982,0.991663,-0.16905695,1.2040154,3.1425962
-0.67009383,-2.433982,0.991663,-0.19715676,1.1368202,2.97583
-0.32165378,-1.7434273,0.8711624,-0.19715676,1.1368202,2.97583
-0.24711919,-1.4778883,1.0653229,-0.25885415,1.0268645,2.7449229
-0.24711919,-1.4778883,1.0653229,-0.25885415,1.0268645,2.7449229
-0.5323534,-1.5565057,2.2018318,-0.41523564,1.0714576,2.5085182
-0.5323534,-1.5565057,2.2018318,-0.41523564,1.0714576,2.5085182
-1.1014565,-1.8524358,3.2689524,-0.42012256,1.219287,2.3533583
-1.1014565,-1.8524358,3.2689524,-0.42012256,1.219287,2.3533583
-1.4276583,-2.23631,2.801548,-0.26618454,1.3292428,2.3099868
-1.4276583,-2.23631,2.801548,-0.26618454,1.3292428,2.3099868
-1.279412,-2.1831708,2.1637402,-0.13362677,1.269378,2.3558018
-1.279412,-2.1831708,2.1637402,-0.13362677,1.269378,2.3558018
-1.02332,-2.0217247,1.6510763,-0.05299256,1.2394456,2.4083362
-1.02332,-2.0217247,1.6510763,-0.05299256,1.2394456,2.4083362
-0.61591136,-1.7790027,1.4675131,0.0056505036,1.2718215,2.422997
-0.61591136,-1.7790027,1.4675131,0.0056505036,1.2718215,2.422997
-0.778375,-1.8122945,0.9598036,0.07040222,1.3249667,2.4077253
-0.778375,-1.8122945,0.9598036,0.07040222,1.3249667,2.4077253
-0.96140623,-1.9640388,0.58520985,0.13942999,1.2382239,2.4217753
-0.96140623,-1.9640388,0.58520985,0.13942999,1.2382239,2.4217753
-1.0608017,-2.0499096,0.14538956,0.15347989,1.0910053,2.4529295
-1.0608017,-2.0499096,0.14538956,0.15347989,1.0910053,2.4529295
-0.72206116,-1.8372848,0.40060616,0.011148291,1.001819,2.4694228
-0.72206116,-1.8372848,0.40060616,0.011148291,1.001819,2.4694228
-0.78731096,-1.8134425,1.1399622,-0.15806139,1.102001,2.4071145
-0.78731096,-1.8134425,1.1399622,-0.15806139,1.102001,2.4071145
-1.120909,-1.8913748,1.0429678,-0.1244638,1.1911873,2.3893993
-1.120909,-1.8913748,1.0429678,-0.1244638,1.1911873,2.3893993
-1.101183,-1.9558814,1.2580338,0.00992656,1.1557571,2.4205534
-1.101183,-1.9558814,1.2580338,0.00992656,1.1557571,2.4205534
-1.0349265,-1.9013917,0.6360655,0.16752979,1.1527027,2.4260514
-1.0349265,-1.9013917,0.6360655,0.16752979,1.1527027,2.4260514
-1.0280287,-1.9673092,0.66764164,0.12904528,1.2504412,2.4016168
-1.0280287,-1.9673092,0.66764164,0.12904528,1.2504412,2.4016168
-1.1003476,-1.1858201,-0.8731804,-0.0786489,1.3286319,2.3295345
